phy1;1aae50d168cf;sta;add;f8:16:54:6a:13:69;6c;3c;ff,ff,0,0,ff,ff,0,0,ff,ff,0,0,ff,ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phy1;1aaf83477aef;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf85baa692;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf88493175;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf8ac82140;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf8d40cd82;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf8fd71b3b;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf92823c5f;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf94fab3b2;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf978b7636;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf9a1e151b;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf9cd090eb;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf9f4c0bfd;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aafa1dcb644;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aafa46b42cf;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aafa6ed0cf6;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aafa96d567c;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aafac068167;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aafae7fbc03;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aafb0ff587c;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aafb37ecedf;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aafb620c943;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aafb8c387e7;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aafbb46bf15;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aafbdd040b8;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aafc05f8c7d;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aafc2f06ca7;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aafc5712efb;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aafc7f15413;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aafca73e312;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aafcd027af5;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aafcf9bd028;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aafd22d00d1;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aafd4b31341;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aafd7439db9;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aafd9d33a6b;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aafdc518951;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aafded4f5b2;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aafe154f1a9;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aafe3d6c74e;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aafe6609684;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aafe8d96137;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aafeb4d9ef3;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aafedda8989;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaff05af2e2;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaff2dcc152;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaff55e2d7c;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaff7dd2e6e;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaffa6e4f56;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaffcf55ccf;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aafff8e633d;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab0020f0880;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab0048c802d;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab0071043fb;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab0099fd097;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab00c2251ce;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab00eb15d71;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab01131e000;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab013b2aa2d;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab01646a578;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab018cd3893;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab01b6865cc;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab01de1c8b9;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab0206e932e;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab022e2f2cb;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab0234b1f2b;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab025557d5d;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab027cb81a0;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab02a530cc6;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab02cd1fa40;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab02f48cb7c;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab031d121c6;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab03472d26c;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab036eb029d;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab039732677;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab03be98962;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab03e609ec9;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab040ec95b2;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab0437a6866;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab045ee50a4;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab048699b84;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab04ae38f45;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab04d6838ca;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab04ff18fde;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab052741f85;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab054f79f6c;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab057789bec;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab059ff95ad;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab05c7f9a16;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab05f0c1da9;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab0619cb058;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab0641f345f;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab066ad7475;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab0692d8754;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab06bad6fde;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab06e2eca6d;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab070bc3117;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab07342e595;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab075c40dc7;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab07852a25c;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab07ad4aa47;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab07d48a07c;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab07fcba96e;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab0823d4ba9;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab084b320ee;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab087333fbf;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab089ad3f13;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab08c2f8ce7;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab08eaf3a42;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab091296787;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab093b81b35;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab0963aaae3;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab098bd7533;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab09b3eb637;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab09dc33728;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab0a057fc9f;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab0a2d38ee3;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab0a54ed701;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab0a7d16b5d;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
